ID,Marital Status,Application Mode,Application Order,Course,Daytime/Evening Attendance,Previous Qualification,Previous Qualification Grade,Nationality,Mother's Qualification,Father's Qualification,Mother's Occupation,Father's Occupation,Admission Grade,Displaced,Educational Special Needs,Debtor,Tuition Fees Up to Date,Gender,Scholarship Holder,Age at Enrollment,International Student,Curricular Units 1st Sem Credited,Curricular Units 1st Sem Enrolled,Curricular Units 1st Sem Evaluations,Curricular Units 1st Sem Approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Student Status
880,Single,Technological specialization diploma holders,1,Communication Design,Daytime,Technological specialization course,120.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Intermediate Level Technicians and Professions,120.0,Yes,No,No,Yes,Male,No,23,No,2,7,8,5,12.2,0,5,9,10,7,12.142857142857142,1,16.2,0.3,-0.92,Dropout
881,Single,2nd phase - general contingent,2,Communication Design,Daytime,Secondary education,126.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,129.9,Yes,No,No,Yes,Male,Yes,19,No,0,6,6,6,13.666666666666666,0,0,6,7,5,13.2,0,12.4,0.5,1.79,Graduate
882,Single,1st phase - general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,149.0,Portuguese,Higher Education - Degree,Higher Education - Bachelor's Degree,Specialists in Intellectual and Scientific Activities,"Personal Services, Security and Safety Workers and Sellers",151.1,Yes,No,No,Yes,Male,No,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Graduate
883,Single,Over 23 years old,1,Agronomy,Daytime,Secondary education,110.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",120.0,No,No,Yes,No,Male,No,31,No,0,6,15,1,11.0,0,0,6,10,0,0.0,0,16.2,0.3,-0.92,Dropout
884,Single,Over 23 years old,1,Agronomy,Daytime,Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",130.0,No,No,Yes,No,Male,No,32,No,0,6,8,3,13.0,0,4,10,14,6,11.428571428571429,0,16.2,0.3,-0.92,Dropout
885,Single,1st phase - special contingent (Madeira Island),2,Nursing,Daytime,Secondary education,127.0,Portuguese,Higher Education - Bachelor's Degree,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,Unskilled Workers,119.0,Yes,No,No,Yes,Female,Yes,19,No,0,8,12,7,12.599999999999998,0,0,8,12,7,12.599999999999998,0,10.8,1.4,1.74,Graduate
886,Single,Transfer,1,Journalism and Communication,Daytime,Frequency of higher education,120.0,Portuguese,Unknown,Unknown,Student,Student,122.0,Yes,No,No,Yes,Female,No,34,No,8,10,11,10,12.2,0,5,10,12,9,12.333333333333334,0,7.6,2.6,0.32,Graduate
887,Single,1st phase - special contingent (Madeira Island),6,Journalism and Communication,Daytime,Secondary education,136.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,10th Year of Schooling,Student,Student,129.7,Yes,No,No,Yes,Female,No,21,No,0,6,6,6,13.166666666666666,0,0,6,6,6,13.0,0,7.6,2.6,0.32,Graduate
888,Single,Change of course,2,Social Service,Daytime,Secondary education,110.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",112.5,Yes,No,No,Yes,Female,Yes,53,No,4,7,16,6,11.0,0,2,7,9,7,11.0,0,9.4,-0.8,-3.12,Graduate
889,Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,136.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",136.0,No,No,No,Yes,Female,Yes,19,No,0,7,7,7,14.014285714285714,0,0,8,8,8,15.35,0,13.9,-0.3,0.79,Graduate
890,Single,1st phase - general contingent,3,Journalism and Communication,Daytime,Secondary education,145.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",133.1,No,No,No,Yes,Female,Yes,20,No,0,6,9,4,13.0,0,0,6,13,4,11.25,0,10.8,1.4,1.74,Graduate
891,Single,1st phase - general contingent,2,Journalism and Communication,Daytime,Secondary education,159.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,151.3,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,14.0,0,0,6,6,6,14.666666666666666,0,10.8,1.4,1.74,Graduate
892,Single,Over 23 years old,1,Animation and Multimedia Design,Daytime,Secondary education,147.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Workers in food processing, woodworking, clothing and other industries and crafts","Unskilled workers in extractive industry, construction, manufacturing and transport",133.3,No,No,No,No,Female,No,32,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,Dropout
893,Single,Change of course,1,Nursing,Daytime,Secondary education,150.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,130.8,Yes,No,No,Yes,Female,Yes,21,No,0,8,8,7,14.428571428571429,0,0,8,8,7,14.428571428571429,0,12.7,3.7,-1.7,Graduate
894,Single,Holders of other higher courses,1,Social Service (evening attendance),Evening,Higher education - degree,140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Other - 11th Year of Schooling,Unskilled Workers,Administrative staff,140.0,No,No,No,No,Female,No,26,No,0,5,9,0,0.0,0,0,5,10,0,0.0,0,9.4,-0.8,-3.12,Dropout
895,Single,Transfer,1,Veterinary Nursing,Daytime,Technological specialization course,150.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",150.0,Yes,No,No,Yes,Female,No,26,No,11,18,45,18,11.833333333333334,10,9,13,27,13,12.461538461538462,5,15.5,2.8,-4.06,Graduate
896,Married,Technological specialization diploma holders,1,Management (evening attendance),Evening,Technological specialization course,130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,130.0,No,No,No,No,Female,No,21,No,0,5,12,3,11.333333333333334,0,0,5,10,1,13.0,0,15.5,2.8,-4.06,Dropout
897,Single,2nd phase - general contingent,1,Journalism and Communication,Daytime,Secondary education,120.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",125.3,No,No,No,Yes,Female,No,18,No,0,6,9,6,12.5,0,0,6,9,6,13.0,0,7.6,2.6,0.32,Graduate
898,Single,Change of course,1,Communication Design,Daytime,Technological specialization course,130.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,124.0,Yes,No,No,Yes,Female,Yes,21,No,4,12,12,12,13.333333333333334,0,5,12,12,11,12.545454545454543,0,15.5,2.8,-4.06,Graduate
899,Single,1st phase - general contingent,1,Tourism,Daytime,Secondary education,112.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",113.8,Yes,No,No,Yes,Female,No,21,No,0,6,10,6,10.833333333333334,0,0,6,10,4,11.0,0,7.6,2.6,0.32,Enrolled
900,Single,2nd phase - general contingent,1,Advertising and Marketing Management,Daytime,Secondary education,128.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",124.4,No,No,No,Yes,Female,Yes,19,No,0,6,6,6,13.0,0,0,6,6,6,14.0,0,13.9,-0.3,0.79,Graduate
901,Single,2nd phase - general contingent,1,Management,Daytime,Secondary education,114.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",107.7,No,No,No,Yes,Female,No,19,No,0,5,7,2,10.0,0,0,5,11,2,14.0,0,10.8,1.4,1.74,Dropout
902,Single,Change of course,2,Social Service,Daytime,Secondary education,118.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",110.0,No,No,No,Yes,Female,Yes,19,No,0,6,8,6,11.428571428571429,0,0,6,11,5,11.2,0,10.8,1.4,1.74,Graduate
903,Single,Holders of other higher courses,1,Nursing,Daytime,Higher education - degree,130.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",130.0,Yes,No,No,Yes,Female,No,27,No,0,8,8,8,12.8875,0,0,8,8,8,12.8875,0,9.4,-0.8,-3.12,Graduate
904,Single,1st phase - general contingent,2,Nursing,Daytime,Secondary education,145.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Administrative staff,138.8,Yes,No,No,Yes,Female,Yes,18,No,0,7,7,6,12.95,0,0,7,7,6,12.95,0,7.6,2.6,0.32,Graduate
905,Single,1st phase - general contingent,2,Management,Daytime,Secondary education,121.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,126.3,Yes,No,No,Yes,Female,No,20,No,0,5,12,1,10.0,2,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
906,Single,1st phase - general contingent,3,Nursing,Daytime,Secondary education,114.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",114.5,Yes,No,No,Yes,Female,Yes,19,No,0,7,7,7,13.094285714285714,0,0,8,8,8,12.55,0,12.4,0.5,1.79,Graduate
907,Single,1st phase - general contingent,4,Advertising and Marketing Management,Daytime,Secondary education,127.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",116.5,Yes,No,No,Yes,Female,No,20,No,0,6,7,0,0.0,0,0,6,6,0,0.0,0,16.2,0.3,-0.92,Dropout
908,Single,2nd phase - general contingent,2,Social Service,Daytime,Secondary education,145.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",128.6,Yes,No,No,Yes,Female,Yes,19,No,0,6,12,5,11.714285714285714,0,0,6,11,6,11.0,0,12.7,3.7,-1.7,Graduate
909,Single,2nd phase - general contingent,5,Social Service,Daytime,Secondary education,130.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",130.0,Yes,No,No,Yes,Female,No,20,No,0,6,8,4,11.25,0,0,6,15,3,10.0,0,9.4,-0.8,-3.12,Enrolled
910,Single,1st phase - general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,150.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions,134.6,No,No,No,Yes,Female,No,20,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout
911,Single,1st phase - general contingent,1,Basic Education,Daytime,Secondary education,145.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",146.8,No,No,No,Yes,Female,No,18,No,0,6,6,6,13.166666666666666,0,0,6,6,6,13.333333333333334,0,7.6,2.6,0.32,Graduate
912,Single,1st phase - general contingent,1,Veterinary Nursing,Daytime,Secondary education,128.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,135.7,Yes,No,No,Yes,Female,No,20,No,0,5,7,4,12.75,0,0,5,5,5,13.4,0,10.8,1.4,1.74,Graduate
913,Married,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,120.0,No,No,No,No,Female,No,38,No,0,5,6,5,10.6,0,0,5,9,2,11.0,0,12.7,3.7,-1.7,Dropout
914,Divorced,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,130.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",138.0,No,No,No,Yes,Female,No,42,No,0,6,8,5,11.2,0,0,6,6,6,12.0,0,8.9,1.4,3.51,Graduate
915,Single,Over 23 years old,1,Nursing,Daytime,Secondary education,140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",135.5,No,No,No,Yes,Female,No,32,No,0,7,0,0,0.0,0,0,8,0,0,0.0,0,13.9,-0.3,0.79,Dropout
916,Single,International student (bachelor),1,Journalism and Communication,Daytime,Secondary education,120.0,Santomean,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",120.0,Yes,No,No,Yes,Female,No,22,Yes,0,6,6,6,13.0,0,0,6,6,6,13.666666666666666,0,12.4,0.5,1.79,Graduate
917,Married,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,147.0,Portuguese,Unknown,Unknown,Other Situation,Other Situation,111.7,Yes,No,No,Yes,Female,No,28,No,0,5,10,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
918,Married,Over 23 years old,1,Social Service (evening attendance),Evening,12th year of schooling - not completed,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Installation and Machine Operators and Assembly Workers,Armed Forces Professions,100.0,Yes,No,No,Yes,Female,No,37,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
919,Married,Technological specialization diploma holders,1,Agronomy,Daytime,Technological specialization course,160.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Administrative staff,160.0,No,No,No,Yes,Female,No,43,No,0,6,8,6,14.166666666666666,0,0,6,9,6,15.0,0,15.5,2.8,-4.06,Graduate
920,Legally Separated,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",114.8,No,No,No,Yes,Female,Yes,41,No,0,6,10,5,12.833333333333334,0,0,6,6,6,12.333333333333334,0,13.9,-0.3,0.79,Graduate
921,Divorced,Over 23 years old,1,Social Service (evening attendance),Evening,Basic education 3rd cycle (9th/10th/11th year) or equiv.,140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,131.0,No,No,No,Yes,Female,Yes,29,No,0,6,11,4,11.75,0,0,6,9,5,10.4,0,10.8,1.4,1.74,Graduate
922,Single,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,97.0,No,No,No,Yes,Female,Yes,35,No,0,6,8,6,10.833333333333334,0,0,6,7,6,11.5,0,10.8,1.4,1.74,Graduate
923,Single,2nd phase - general contingent,6,Social Service,Daytime,Secondary education,131.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Administrative staff,Specialists in Intellectual and Scientific Activities,131.7,Yes,No,No,Yes,Female,No,18,No,0,6,8,4,11.75,0,0,6,8,4,12.25,0,9.4,-0.8,-3.12,Dropout
924,Single,Over 23 years old,1,Nursing,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",120.0,No,No,No,No,Female,Yes,39,No,0,7,14,3,11.5,0,0,7,9,2,10.5,0,16.2,0.3,-0.92,Dropout
925,Divorced,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,120.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,110.0,No,No,No,Yes,Female,No,37,No,0,5,14,2,10.0,0,0,5,7,3,11.333333333333334,0,12.7,3.7,-1.7,Enrolled
926,Single,Over 23 years old,1,Nursing,Daytime,Secondary education,130.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",133.0,Yes,No,No,Yes,Female,Yes,26,No,0,7,7,6,13.7,0,0,7,7,6,13.7,0,7.6,2.6,0.32,Graduate
927,Single,Holders of other higher courses,1,Veterinary Nursing,Daytime,Higher education - degree,140.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Complementary High School Course,Administrative staff,Other Situation,140.0,Yes,No,No,Yes,Female,No,32,No,0,5,8,1,14.0,2,0,5,12,0,0.0,4,10.8,1.4,1.74,Dropout
928,Married,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Installation and Machine Operators and Assembly Workers,100.0,No,No,Yes,Yes,Female,No,37,No,3,8,12,7,11.375,0,2,7,10,6,12.166666666666666,0,13.9,-0.3,0.79,Enrolled
929,Single,Over 23 years old,1,Veterinary Nursing,Daytime,Secondary education,140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Cleaning workers,"Farmers, livestock keepers, fishermen, hunters and gatherers, subsistence",129.3,Yes,No,Yes,Yes,Female,No,28,No,0,6,17,0,0.0,0,0,6,6,0,0.0,0,8.9,1.4,3.51,Enrolled
930,Single,1st phase - general contingent,1,Social Service,Daytime,Secondary education,133.1,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Student,Student,137.0,Yes,No,No,Yes,Female,No,19,No,0,6,10,0,0.0,4,0,6,0,0,0.0,0,7.6,2.6,0.32,Dropout
931,Single,1st phase - general contingent,5,Management,Daytime,Secondary education,125.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",122.2,Yes,No,No,Yes,Female,No,18,No,0,5,9,1,11.0,0,0,5,9,2,12.5,0,7.6,2.6,0.32,Enrolled
932,Single,1st phase - general contingent,1,Basic Education,Daytime,Secondary education,115.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,108.0,No,No,No,Yes,Female,Yes,19,No,0,7,10,6,13.0,0,0,7,7,7,13.285714285714286,0,12.4,0.5,1.79,Graduate
933,Married,Holders of other higher courses,1,Advertising and Marketing Management,Daytime,Higher education - degree,110.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",110.0,No,No,No,Yes,Female,No,32,No,4,11,15,8,13.6,0,2,8,10,8,15.11111111111111,0,13.9,-0.3,0.79,Graduate
934,Married,Over 23 years old,1,Management,Daytime,Secondary education,140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,127.7,Yes,No,No,Yes,Female,No,31,No,0,5,8,3,11.0,0,0,5,9,2,11.5,0,7.6,2.6,0.32,Dropout
935,Single,Over 23 years old,1,Nursing,Daytime,Secondary education,100.0,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,"Personal Services, Security and Safety Workers and Sellers",121.3,Yes,No,No,Yes,Female,No,34,No,0,8,11,7,11.705714285714285,0,0,8,11,7,11.705714285714285,0,10.8,1.4,1.74,Enrolled
936,Single,1st phase - general contingent,3,Animation and Multimedia Design,Daytime,Secondary education,145.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,140.1,Yes,No,No,Yes,Female,No,20,No,6,12,12,12,13.25,0,4,11,14,11,14.333333333333334,0,8.9,1.4,3.51,Graduate
937,Single,Over 23 years old,1,Nursing,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,114.8,No,No,No,Yes,Female,No,28,No,0,7,15,1,10.75,0,0,7,10,1,10.0,0,13.9,-0.3,0.79,Dropout
938,Single,Technological specialization diploma holders,1,Management (evening attendance),Evening,Technological specialization course,150.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",150.0,No,No,No,Yes,Female,No,31,No,2,6,8,6,12.0,0,2,7,8,7,13.428571428571429,0,9.4,-0.8,-3.12,Enrolled
939,Single,1st phase - general contingent,1,Journalism and Communication,Daytime,Secondary education,145.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,Armed Forces Professions,131.7,Yes,No,No,Yes,Female,No,18,No,0,6,7,6,12.666666666666666,0,0,6,8,4,12.25,0,7.6,2.6,0.32,Enrolled
940,Divorced,Over 23 years old,1,Social Service (evening attendance),Evening,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Other Situation,"Skilled Workers in Industry, Construction and Craftsmen",110.0,No,No,No,No,Female,No,31,No,0,6,8,5,11.4,0,0,6,9,3,11.0,0,9.4,-0.8,-3.12,Dropout
941,Single,1st phase - general contingent,3,Journalism and Communication,Daytime,Secondary education,110.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",105.5,Yes,No,No,Yes,Female,No,19,No,0,6,6,6,13.0,0,0,6,8,5,12.4,0,12.4,0.5,1.79,Graduate
942,Single,1st phase - general contingent,1,Social Service,Daytime,Secondary education,128.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Administrative staff,127.3,Yes,No,No,Yes,Female,Yes,19,No,0,6,8,6,14.0,0,0,6,8,6,12.285714285714286,0,16.2,0.3,-0.92,Graduate
943,Married,Over 23 years old,1,Social Service,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,130.0,Yes,No,No,Yes,Female,No,31,No,0,6,11,0,0.0,0,0,5,10,0,0.0,0,9.4,-0.8,-3.12,Enrolled
944,Single,Holders of other higher courses,1,Veterinary Nursing,Daytime,Higher education - degree,130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Armed Forces Professions,130.0,No,No,No,Yes,Female,No,34,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,Dropout
945,Single,1st phase - special contingent (Madeira Island),1,Oral Hygiene,Daytime,Secondary education,137.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",122.7,Yes,No,No,Yes,Female,Yes,18,No,0,7,7,7,15.285714285714286,0,0,8,8,8,16.075,0,12.4,0.5,1.79,Graduate
946,Single,2nd phase - general contingent,2,Tourism,Daytime,Secondary education,123.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",113.9,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,13.166666666666666,0,0,6,6,6,12.666666666666666,0,11.1,0.6,2.02,Graduate
